name,segment,offset,debug_type,file_offset,overlay_offset
ARGSFX,0x0000,0x0000,0x0002,0x00380,0x1b956
CALL,0x0000,0x0000,0x0001,0x00380,0x1b96f
_ARGSFX,0x0000,0x0000,0x0201,0x00380,0x1b97a
P_SUBSTR,0x0000,0x6fe4,0x0201,0x07364,0x1b988
_ASSEMFLAGS,0x10ec,0x0f8b,0x0084,0x121cb,0x1b997
SS_STORE,0x10ec,0x9a96,0x0085,0x1acd6,0x1b9a9
SP_STORE,0x10ec,0x9a98,0x0085,0x1acd8,0x1b9b8
SASP_STORE,0x10ec,0x9a9a,0x0085,0x1acda,0x1b9c7
REALINS,0x10ec,0x76a7,0x0084,0x188e7,0x1b9d8
PUTOPT,0x10ec,0x13f2,0x0084,0x12632,0x1b9e6
PUTHAN,0x10ec,0x13f3,0x0085,0x12633,0x1b9f3
_OS2WRITEBYTES,0x0cdf,0x004e,0x0000,0x0d1be,0x1ba58
_OS2GETTIME,0x0cdf,0x0099,0x0000,0x0d209,0x1ba6d
_OS2DELETEFILE,0x0cdf,0x00be,0x0000,0x0d22e,0x1ba7f
_OS2EXIT,0x0cdf,0x0018,0x0000,0x0d188,0x1ba94
_OS2INITTERM,0x0cdf,0x00b8,0x0000,0x0d228,0x1baa3
_OS2EXITERR,0x0cdf,0x001d,0x0000,0x0d18d,0x1bab6
_OS2AVAILMEM,0x0cdf,0x0085,0x0000,0x0d1f5,0x1bac8
_OS2RENAMEFILE,0x0cdf,0x00b9,0x0000,0x0d229,0x1badb
_OS2OPENFILE,0x0cdf,0x0022,0x0000,0x0d192,0x1baf0
_OS2READBYTES,0x0cdf,0x0049,0x0000,0x0d1b9,0x1bb16
_OS2SEEKEND,0x0cdf,0x0075,0x0000,0x0d1e5,0x1bb3c
_OS2OPENNEWFILE,0x0cdf,0x0028,0x0000,0x0d198,0x1bb4e
_OS2PRTSTRING,0x0cdf,0x009e,0x0000,0x0d20e,0x1bb64
